"","CONTACT","SURVEY","locationID","deploymentID","LONGITUDE","LATITUDE","start","end","CT_MODEL","HEIGHT","DELAY","SENSITIVITY","LURE","LANDSCAPE_FEATURE","DP_COMMENTS","TIME_ZONE","DP_DURATION","BIOME","BIOME_NAME","eco_code","ct_brands","ct_brand_loc","ct_delay_loc","ct_sensitivity_loc","height_loc","lure_loc","landscape_feature_loc","PC1","PC2"
"1","Andrea Weiler","2L_11_2020","2L_CAM10","2L_11_2020_CAM10",-56.834206,-27.240004,2020-11-13,2021-02-12 23:59:59,"Bushnell Trophy Cam",50,1,"normal","no","trail/road",NA,-3,91,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","NT0708","Bushnell","Bushnell",1,"normal",50,"no","trail/road",0.272752102016584,-1.25585656160504
"2","Andrea Weiler","2L_11_2020","2L_CAM11","2L_11_2020_CAM11",-56.843696,-27.237469,2020-11-13,2020-12-17 23:59:59,"Bushnell Trophy Cam",50,1,"normal","no","trail/road",NA,-3,34,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","NT0708","Bushnell","Bushnell",1,"normal",50,"no","trail/road",0.272752102013596,-1.25585656160578
"3","Andrea Weiler","2L_11_2020","2L_CAM12","2L_11_2020_CAM12",-56.846113,-27.221594,2020-11-13,2021-02-12 23:59:59,"Bushnell Trophy Cam",50,1,"normal","no","trail/road",NA,-3,91,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","NT0708","Bushnell","Bushnell",1,"normal",50,"no","trail/road",0.272752102013575,-1.25585656160583
"4","Andrea Weiler","2L_11_2020","2L_CAM13","2L_11_2020_CAM13",-56.830837,-27.224292,2020-11-13,2020-12-17 23:59:59,"Bushnell Trophy Cam",50,1,"normal","no","trail/road",NA,-3,34,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","NT0708","Bushnell","Bushnell",1,"normal",50,"no","trail/road",0.272752102013307,-1.25585656160585
"5","Andrea Weiler","2L_11_2020","2L_CAM14","2L_11_2020_CAM14",-56.837715,-27.20565,2020-11-13,2021-02-12 23:59:59,"Bushnell Trophy Cam",50,1,"normal","no","trail/road",NA,-3,91,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","NT0708","Bushnell","Bushnell",1,"normal",50,"no","trail/road",0.272752102013489,-1.25585656160603
"6","Andrea Weiler","2L_11_2020","2L_CAM15","2L_11_2020_CAM15",-56.821778,-27.234882,2020-11-13,2020-12-17 23:59:59,"Bushnell Trophy Cam",50,1,"normal","no","trail/road",NA,-3,34,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","NT0708","Bushnell","Bushnell",1,"normal",50,"no","trail/road",0.272752102013646,-1.25585656160637
"7","Andrea Weiler","2L_11_2020","2L_CAM16","2L_11_2020_CAM16",-56.81178,-27.253714,2020-11-13,2021-02-12 23:59:59,"Bushnell Trophy Cam",50,1,"normal","no","trail/road",NA,-3,91,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","NT0708","Bushnell","Bushnell",1,"normal",50,"no","trail/road",0.272752102013531,-1.25585656160611
"8","Andrea Weiler","2L_11_2020","2L_CAM17","2L_11_2020_CAM17",-56.807069,-27.255356,2020-11-13,2021-02-12 23:59:59,"Bushnell Trophy Cam",50,1,"normal","no","trail/road",NA,-3,91,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","NT0708","Bushnell","Bushnell",1,"normal",50,"no","trail/road",0.272752102013552,-1.25585656160572
"9","Andrea Weiler","2L_11_2020","2L_CAM18","2L_11_2020_CAM18",-56.795924,-27.244448,2020-11-13,2020-12-17 23:59:59,"Bushnell Trophy Cam",50,1,"normal","no","trail/road",NA,-3,34,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","NT0708","Bushnell","Bushnell",1,"normal",50,"no","trail/road",0.272752102013495,-1.25585656160576
"10","Julieta Decarre","CHACO_08_2013","A1.A3_13","CHACO_08_2013_A1.A3_13",-61.66616698,-26.01872203,2013-08-20,2013-09-13 23:59:59,"Reconyx PC800 Hyperfire Professional IRTM",35,0,"high","no","none",NA,-3,24,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","NT0210","Reconyx","Reconyx",0,"high",35,"no","none",-0.977580137486115,2.58985405325057
